ID,Prediction
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,1
16,0
17,0
18,1
19,0
20,1
21,0
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,0
34,0
35,1
36,0
37,1
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,1
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,1
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,0
136,1
137,0
138,0
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,1
147,0
148,1
149,0
150,1
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,1
175,1
176,1
177,0
178,0
179,0
180,0
181,1
182,1
183,1
184,1
185,0
186,1
187,1
188,0
189,1
190,0
191,0
192,1
193,0
194,1
195,0
196,0
197,1
198,1
199,0
200,1
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,1
219,1
220,0
221,0
222,1
223,1
224,0
225,0
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,0
249,0
250,1
251,1
252,0
253,0
254,1
255,0
256,0
257,1
258,0
259,1
260,0
261,0
262,0
263,1
264,0
265,0
266,1
267,1
268,1
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,1
279,1
